author,book,mark_num,price,star,time
九夜茴,匆匆那年（上下）,30445,29.00,8.3,2008-1
斯丹达尔,红与黑,30639,20.00元,8.2,1993-7-1
[日] 村上春树,世界尽头与冷酷仙境,29139,23.00元,8.6,2002-12
[美] 彼得·海斯勒,江城,27284,36.00元,9.0,2012-1
[美]莉兹•克里莫,你今天真好看,28492,39.00元,8.7,2015-8
吴承恩,西游记（全二册）,27729,47.20元,8.8,2004-8
李笑来,把时间当作朋友,29129,32.00元,8.5,2009-6
[美] 乔治·R. R. 马丁,冰与火之歌（卷一）,25998,68.00元,9.3,2005-5
[美] 梭罗,瓦尔登湖,29179,11.00元,8.4,2006-8
八月长安,最好的我们,26980,55,8.8,2013-8-5
严歌苓,陆犯焉识,27199,35.00元,8.8,2011-10
章诒和,往事并不如烟,27940,35.00元,8.6,2004-1
九把刀,那些年，我们一起追的女孩,29531,20.00元,8.2,2007-1
鲁迅,狂人日记,27274,39.80元,8.7,2006-3
沧月,七夜雪,27761,25.00元,8.4,2006-10
hans,阿狸·梦之城堡,26063,36.80元,9.0,2009-1
[日] 乙一,ZOO,27212,20.00元,8.6,2007-10
[美] 丹.布朗,天使与魔鬼,28617,29.80元,8.1,2005-2
[美] E.B.怀特,夏洛的网,27066,17.00元,8.5,2004-5
[美]  凯利·麦格尼格尔,自控力,28039,39.80元,8.3,2012-8
安妮宝贝,蔷薇岛屿,28997,18.00元,8.0,2002-8
萧红,呼兰河传,25691,19.00,8.9,2005-01
史铁生,我与地坛,24904,25.00元,9.0,2002-5
[奥] 卡夫卡,变形记,26836,16.00元,8.4,2003-4
[日] 村上春树,国境以南 太阳以西,27370,13.50元,8.3,2001-8
[英] 伊恩·麦克尤恩,最初的爱情 最后的仪式,28140,22.00元,8.0,2010-2
（清）沈复,浮生六记,25254,5.70元,8.9,1999/1
林语堂,京华烟云,25590,43.00元,8.5,2005-7
路遥,人生,25392,20.00元,8.4,2009-5
[捷克] 米兰·昆德拉,生活在别处,25949,25.00元,8.4,2004-5
[日] 村上春树,没有色彩的多崎作和他的巡礼之年,25965,39.50元,8.2,2013-10-1
[美] 戴尔·卡耐基,人性的弱点全集,25601,25.00元,8.3,2008-1
李海鹏,佛祖在一号线,26073,25.00元,8.2,2010-6
[美] 卡森·麦卡勒斯,心是孤独的猎手,24869,25.00元,8.5,2005-8
木心 讲述,文学回忆录（全2册）,22779,98.00元,9.2,2013-1-10
[日] 原研哉,设计中的设计,24419,48.00元,8.6,2006-11
刘震云,一句顶一万句,23933,29.80,8.7,2009-3
梁文道,我执,26085,35.00元,8.0,2010-10
吴晓波,激荡三十年（上）,23350,35.00,8.8,2007-1
[英] 阿加莎·克里斯蒂,尼罗河上的惨案,23569,22.00元,8.7,2006-5
[澳] 马克斯·苏萨克,偷书贼,25415,25.00元,8.0,2007-8
[以色列] 尤瓦尔·赫拉利,未来简史,23201,68,8.4,2017-1
江南,九州·缥缈录,21971,20.00元,8.8,2005-6
[法] 莫泊桑,项链,23338,28.00元,8.3,2005-2
王小波,我的精神家园,21296,18.80元,9.1,1997
苏童,妻妾成群,23493,23.00元,8.2,2004-8
龙应台,野火集,21685,25.00元,8.8,2005-8
[德] 埃·奥·卜劳恩 绘,父与子全集,20452,20.00元,9.2,2003-4
